timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
42.04972,False,GameStart,Map1,Null,0,0,0,Null
42.06973,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
42.06973,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
42.06973,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
42.06973,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
42.06973,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
42.06973,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
42.06973,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
42.06973,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
47.53984,False,CardSpawn,Map1,village,31.74998,0.188228,170.75,Card/Scene/C_Human Captal
47.57317,False,CardSpawn,Map1,village,-28.00002,0.188385,140.5,Card/Scene/C_Orc Captal
47.60651,False,CardSpawn,Map1,village,-2.547993,0.1766915,222.4659,Card/Scene/C_Elf Captal
47.63984,False,CardSpawn,Map1,village,62.99998,0.188228,192.25,Card/Scene/C_Human Villager
47.67319,False,CardSpawn,Map1,village,55.99998,0.188385,165.25,Card/Scene/C_Human Villager
47.70652,False,CardSpawn,Map1,village,31.74998,0.1766915,187,Card/Scene/C_Human Villager
47.73985,False,CardSpawn,Map1,village,35.24998,0.188228,160.5,Card/Scene/C_Human Villager
47.77319,False,CardSpawn,Map1,village,24.49998,0.188385,164.5,Card/Scene/C_Human Villager
47.80652,False,CardSpawn,Map1,village,30.24998,0.1766915,167,Card/Scene/C_Human Villager
47.83986,False,CardSpawn,Map1,village,34.74998,0.188228,164.75,Card/Scene/C_Human Villager
47.87319,False,CardSpawn,Map1,village,35.24998,0.188385,157,Card/Scene/C_Human Villager
47.90654,False,CardSpawn,Map1,village,28.99998,0.1766915,186.75,Card/Scene/C_Human Villager
47.93988,False,CardSpawn,Map1,village,20.49998,0.188228,165.25,Card/Scene/C_Human Villager
47.97321,False,CardSpawn,Map1,village,37.49998,0.188385,171.75,Card/Scene/C_Human Villager
48.00655,False,CardSpawn,Map1,village,40.74998,0.1766915,171,Card/Scene/C_Human Villager
48.03988,False,CardSpawn,Map1,village,43.24998,0.188228,165.25,Card/Scene/C_Human Villager
48.07321,False,CardSpawn,Map1,village,49.74998,0.188385,166,Card/Scene/C_Human Villager
48.10655,False,CardSpawn,Map1,village,50.24998,0.1766915,185.25,Card/Scene/C_Human Villager
48.13988,False,CardSpawn,Map1,village,66.74998,0.188228,185.75,Card/Scene/C_Human Villager
