timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
4142.8,False,GameStart,Map1,Null,0,0,0,Null
4142.82,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
4142.82,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
4142.82,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
4142.82,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
4142.82,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
4142.82,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
4142.82,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
4142.82,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
4148.231,False,CardSpawn,Map1,village,31.74998,0.188385,358.2499,Card/Scene/C_Human Captal
4148.264,False,CardSpawn,Map1,village,-28.00002,0.1766915,327.9999,Card/Scene/C_Orc Captal
4148.298,False,CardSpawn,Map1,village,-40.25002,0.188228,409.4999,Card/Scene/C_Elf Captal
4148.331,False,CardSpawn,Map1,village,18.74998,0.188385,356.9999,Card/Scene/C_Human Villager
4148.364,False,CardSpawn,Map1,village,44.99998,0.1766915,366.2499,Card/Scene/C_Human Villager
4148.397,False,CardSpawn,Map1,village,37.99998,0.188228,374.4999,Card/Scene/C_Human Villager
4148.431,False,CardSpawn,Map1,village,60.49998,0.188385,378.2499,Card/Scene/C_Human Villager
4148.464,False,CardSpawn,Map1,village,23.74998,0.1766915,364.7499,Card/Scene/C_Human Villager
4148.498,False,CardSpawn,Map1,village,52.99998,0.188228,359.9999,Card/Scene/C_Human Villager
4148.531,False,CardSpawn,Map1,village,20.74998,0.188385,359.7499,Card/Scene/C_Human Villager
4148.564,False,CardSpawn,Map1,village,41.99998,0.1766915,367.4999,Card/Scene/C_Human Villager
4148.598,False,CardSpawn,Map1,village,55.99998,0.188228,360.7499,Card/Scene/C_Human Villager
4148.631,False,CardSpawn,Map1,village,32.24998,0.188385,347.2499,Card/Scene/C_Human Villager
4148.665,False,CardSpawn,Map1,village,24.74998,0.1766915,349.7499,Card/Scene/C_Human Villager
4148.698,False,CardSpawn,Map1,village,35.99998,0.188228,376.7499,Card/Scene/C_Human Villager
4148.731,False,CardSpawn,Map1,village,31.99998,0.188385,369.4999,Card/Scene/C_Human Villager
4148.764,False,CardSpawn,Map1,village,30.49998,0.1766915,345.2499,Card/Scene/C_Human Villager
4148.798,False,CardSpawn,Map1,village,41.74998,0.188228,358.4999,Card/Scene/C_Human Villager
4148.831,False,CardSpawn,Map1,village,30.99998,0.188385,361.2499,Card/Scene/C_Human Villager
4148.864,False,CardSpawn,Map1,village,-33.50002,0.1766915,318.9999,Card/Scene/C_Orc Village
4148.897,False,CardSpawn,Map1,village,-41.75002,0.188228,329.4999,Card/Scene/C_Orc Village
4148.931,False,CardSpawn,Map1,village,-19.50002,0.188385,323.4999,Card/Scene/C_Orc Village
4148.964,False,CardSpawn,Map1,village,-64.25002,0.1766915,299.2499,Card/Scene/C_Orc Village
4148.998,False,CardSpawn,Map1,village,-42.25002,0.188228,337.7499,Card/Scene/C_Orc Village
4149.031,False,CardSpawn,Map1,village,-25.00002,0.188385,304.2499,Card/Scene/C_Orc Village
4149.064,False,CardSpawn,Map1,village,-17.25002,0.1766915,315.9999,Card/Scene/C_Orc Village
4149.098,False,CardSpawn,Map1,village,-48.50002,0.188228,333.7499,Card/Scene/C_Orc Village
4149.131,False,CardSpawn,Map1,village,-33.25002,0.188385,344.4999,Card/Scene/C_Orc Village
4149.165,False,CardSpawn,Map1,village,-41.25002,0.1766915,313.9999,Card/Scene/C_Orc Village
4149.198,False,CardSpawn,Map1,village,-11.50002,0.188228,297.7499,Card/Scene/C_Orc Village
4149.231,False,CardSpawn,Map1,village,-41.75002,0.188385,301.9999,Card/Scene/C_Orc Village
4149.264,False,CardSpawn,Map1,village,-34.75002,0.1766915,362.2499,Card/Scene/C_Orc Village
4149.298,False,CardSpawn,Map1,village,-25.25002,0.188228,311.7499,Card/Scene/C_Orc Village
